libxinerama 1.1.3-2
libxkbcommon 0.6.1-1
libxkbcommon-x11 0.6.1-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml++ 2.40.1-1
libxml-perl 0.08-5
libxml2 2.9.3+14+gd5bd2a9-1
libxmu 1.1.2-1
libxp 1.0.3-1
libxpm 3.5.11-1
libxrandr 1.5.0-1
libxrender 0.9.9-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.28-4
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.9-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.6-1
libzip 1.1.2-1
licenses 20140629-1
lightdm 1:1.18.1-1
lightdm-gtk-greeter 1:2.0.1-3
lilv 0.22.0-2
link-grammar 5.3.3-1
linux 4.5.3-1
linux-api-headers 4.5.2-1
linux-firmware 20160315.deb1d83-1
linux-headers 4.5.3-1
linux-lts 4.4.9-1
linux-lts-headers 4.4.9-1
lirc 1:0.9.3.a-2
llvm 3.7.1-1
llvm-libs 3.7.1-1
lm_sensors 3.4.0-1
log4cplus 1.2.0-2
logrotate 3.9.2-1
loudmouth 1.5.3-1
love 0.10.1-1
lpsolve 5.5.2.0-3
lsof 4.89-1
lua 5.3.2-1
lua51 5.1.5-4
lua52 5.2.4-1
luajit 2.0.4-2
lv2 1.12.0-1
lvm2 2.02.150-1
lxsession 1:0.5.2-2
lynx 2.8.8-4
lz4 131-1
lzo 2.09-1
m4 1.4.17-1
macchanger 1.7.0-2
maim 3.4.47-2
make 4.1-4
man-db 2.7.5-1
man-pages 4.05-1
mariadb 10.1.13-1
mariadb-clients 10.1.13-1
markdown 1.0.1-6
mate-icon-theme 1.12.0-1
mate-themes 3.20.5-2
mc 4.8.17-1
mcpp 2.7.2-5
mdadm 3.4-1
media-player-info 22-2
meld 3.16.0-1
mercurial 3.8.1-2
mesa 11.2.1-1
mime-types 9-1
ming 0.4.7-1
mirage 0.9.5.2-4
mjpegtools 2.1.0-2
mkinitcpio 19-1
mkinitcpio-busybox 1.24.1-1
mkisolinux 2013.05-1
mkvtoolnix-cli 9.1.0-1
mlocate 0.26-5
mlt 6.2.0-1
